"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","I_HOGAR"
"10359","7929527","1","1",1,0,1,1,2852573.8674961
"10360","7929536","1","1",1,0,1,1,1452516.11595973
"10361","7929539","1","1",1,0,1,1,2888967.63185039
"10362","7929542","1","1",1,0,1,1,2648952.86014304
"10363","7929543","1","1",0,0,1,1,1408831.13864809
"10364","7929545","1","1",1,0,1,1,2278760.2635473
"10365","7929546","1","1",1,0,1,1,1487846.74420953
"10366","7929555","1","1",1,0,1,1,1359290.47204554
"10367","7929558","1","1",1,0,1,0,2722140.06816968
"10368","7929565","1","1",1,1,1,0,2393270.69172636
"10369","7929571","1","1",0,0,1,1,1397632.66600668
"10370","7929586","1","1",1,1,1,1,2926556.79311603
"10371","7929594","1","1",1,0,1,1,2811737.00695857
"10372","7929599","1","1",1,1,1,1,1943370.87821215
"10373","7929600","1","1",0,0,1,0,1700703.41978222
"10374","7929602","1","1",1,0,1,1,2743569.38157231
"10375","7929613","1","1",1,0,1,1,2295312.23960221
"10376","7929617","1","1",1,0,1,1,1864277.68746391
"10377","7929631","1","1",1,0,1,0,1711309.37920883
"10378","7929633","1","1",1,0,1,1,2947447.68714532
"10379","7929645","1","1",1,0,1,0,2384730.37915304
"10380","7929647","1","1",1,1,1,1,1996107.36597329
"10381","7929649","1","1",1,0,1,1,1703002.79853866
"10382","7929651","1","1",0,0,1,0,2370705.36181331
"10383","7929678","1","1",1,1,1,1,2491830.82414791
"10384","7929693","1","1",1,1,1,1,1708305.58439717
"10385","7929698","1","1",1,0,1,1,2422474.83588755
"10386","7929706","1","1",1,0,1,1,1320743.62140149
"10387","7929708","1","1",1,0,1,1,1981735.1150699
"10388","7929716","1","1",1,0,1,1,1571698.0393976
"10389","7929719","1","1",1,0,1,1,2849852.47606412
"10390","7929723","1","1",1,0,1,1,1833078.59539986
"10391","7929725","1","1",1,0,1,1,1459731.9367528
"10392","7929728","1","1",1,0,1,1,2216919.61351782
"10393","7929730","1","1",1,1,1,1,2054052.08000913
"10394","7929736","1","1",0,0,1,1,1230740.13248086
"10395","7929740","1","1",1,0,1,1,1510102.21276432
"10396","7929741","1","1",1,1,1,1,1606631.31630048
"10397","7929746","1","1",1,0,1,1,2294814.26626444
"10398","7929750","1","1",1,0,1,0,2853884.56838205
"10399","7929761","1","1",1,0,1,1,2317128.36550549
"10400","7929765","1","1",1,0,1,1,1737741.04209617
"10401","7929767","1","1",1,1,1,1,2047763.76465335
"10402","7929769","1","1",1,1,1,1,2625116.28704146
"10403","7929769","1","2",1,1,1,1,1273265.87740332
"10404","7929778","1","1",1,0,1,1,2216542.00579971
"10405","7929779","1","1",1,0,1,1,2973940.95087424
"10406","7929780","1","1",1,0,1,1,2130241.02777243
"10407","7929781","1","1",1,0,1,1,1606731.08661547
"10408","7929783","1","1",1,0,1,1,1966070.05318627
"10409","7929784","1","1",1,0,1,1,2027074.78206605
"10410","7929795","1","1",1,0,1,1,2632268.06035265
"10411","7929806","1","1",1,0,1,1,1234347.80275449
"10412","7929807","1","1",1,0,1,1,1351959.79496464
"10413","7929808","1","1",1,0,1,1,2610146.55724168
"10414","7929814","1","1",1,0,1,1,2947714.77878094
"10415","7929815","1","1",1,0,1,1,2206646.28235623
"10416","7929818","1","1",1,0,0,1,1222448.87040928
"10417","7929822","1","1",1,1,1,1,1540475.94694421
"10418","7929827","1","1",1,0,1,1,2633376.93462148
"10419","7929829","1","1",1,0,1,1,1882540.82385451
"10420","7929830","1","1",1,0,1,1,2859771.09236643
"10421","7929833","1","1",1,0,1,1,2602878.01522762
"10422","7929835","1","1",1,0,1,1,1778392.21287519
"10423","7929836","1","1",1,0,1,1,1383908.09318051
"10424","7929841","1","1",1,0,1,1,2116349.37781841
"10425","7929842","1","1",1,0,1,1,2997541.63803533
"10426","7929844","1","1",1,0,1,1,2283452.01181248
"10427","7929848","1","1",1,0,1,1,1925659.55495462
"10428","7929852","1","1",1,1,1,1,1859253.06245685
"10429","7929853","1","1",1,0,1,1,2448355.17317057
"10430","7929854","1","1",1,0,1,1,2487824.87502322
"10431","7929858","1","1",1,1,1,1,1690627.02666968
"10432","7929859","1","1",1,0,1,1,2899560.93866378
"10433","7929862","1","1",1,0,1,1,1919382.32081011
"10434","7929868","1","1",1,0,1,1,2580197.93312997
"10435","7929873","1","1",1,0,1,1,1575274.40544218
"10436","7929878","1","1",1,0,1,1,1750650.99723637
"10437","7929879","1","1",1,0,1,1,2399687.48589978
"10438","7929881","1","1",1,0,1,1,2619016.23060927
"10439","7929888","1","1",1,0,1,1,2265064.44334984
"10440","7929897","1","1",1,0,1,1,1263395.01192793
"10441","7929898","1","1",1,0,1,1,2558071.80278003
"10442","7929911","1","1",1,0,1,1,2573579.60065827
"10443","7929919","1","1",1,0,1,1,2622479.23508286
"10444","7929920","1","1",1,0,1,1,2757264.01379332
"10445","7929922","1","1",1,0,1,1,2445449.17628169
"10446","7929929","1","1",1,0,1,0,1913735.40906236
"10447","7929931","1","1",1,0,1,1,2911088.44736591
"10448","7929936","1","1",1,0,1,1,1530752.28344649
"10449","7929938","1","1",1,0,1,1,2093537.89644316
"10450","7929941","1","1",1,0,1,1,1540836.15785465
"10451","7929943","1","1",1,0,1,1,2440209.20237526
"10452","7929944","1","1",1,0,1,1,1783040.43827578
"10453","7929945","1","1",1,0,1,1,1929866.31151289
"10454","7929946","1","1",1,1,1,1,1918663.14094514
"10455","7929951","1","1",1,0,1,1,1803600.92019662
"10456","7929956","1","1",1,1,1,1,1160005.17560169
"10457","7929958","1","1",1,0,1,1,1936920.32974213
"10458","7929961","1","1",1,0,1,1,2798531.97097778
"10459","7929962","1","1",1,0,1,1,2908645.7600072
"10460","7929968","1","1",1,1,1,1,2507285.09197012
"10461","7929969","1","1",1,0,1,1,1195913.63593936
"10462","7929972","1","1",1,0,1,1,2639710.34253016
"10463","7929973","1","1",0,0,1,1,2366818.78611445
"10464","7929975","1","1",1,0,1,1,2426972.77348489
"10465","7929977","1","1",1,0,1,1,1483955.67793399
"10466","7929978","1","1",1,0,1,1,2882156.09105304
"10467","7929979","1","1",1,1,1,1,1417710.06392315
"10468","7929980","1","1",1,0,1,1,2343201.21109486
"10469","7929985","1","1",1,0,1,1,1661238.6244908
"10470","7929994","1","1",1,0,1,1,1243375.21780282
"10471","7929996","1","1",1,0,1,1,2643033.96819159
"10472","7929997","1","1",1,0,1,1,2320997.77830765
"10473","7929998","1","1",1,0,1,1,2454010.26194915
"10474","7930000","1","1",1,0,1,1,2481802.99069732
"10475","7930001","1","1",1,0,1,1,2587453.47552001
"10476","7930003","1","1",1,0,1,1,2630509.5304735
"10477","7930009","1","1",1,0,1,1,1785741.15514755
"10478","7930012","1","1",1,0,1,1,2873784.37560052
"10479","7930017","1","1",0,0,0,1,2780277.12471783
"10480","7930018","1","1",1,0,1,1,1420353.64611074
"10481","7930025","1","1",0,1,1,1,2547179.12290245
"10482","7930028","1","1",1,0,1,1,2019711.56137064
"10483","7930030","1","1",1,1,1,1,1695556.34066463
"10484","7930033","1","1",0,1,0,1,2611602.48599946
"10485","7930037","1","1",1,0,1,1,2186154.48758006
"10486","7930041","1","1",1,0,1,1,1617710.92960611
"10487","7930042","1","1",1,0,1,1,2371251.90809369
"10488","7930042","1","2",1,0,1,1,2650326.06666908
"10489","7930044","1","1",1,0,1,1,2447161.76707298
"10490","7930046","1","1",1,0,1,0,2074823.23089615
"10491","7930048","1","1",1,0,1,1,1269015.99340141
"10492","7930052","1","1",1,0,1,1,2047140.30278847
"10493","7930057","1","1",0,1,1,0,1215367.81104282
"10494","7930058","1","1",1,0,1,1,1245264.0600875
"10495","7930059","1","1",1,0,1,1,2719415.902365
"10496","7930061","1","1",1,1,1,1,1803675.99319667
"10497","7930064","1","1",1,0,1,1,2556144.9983716
"10498","7930070","1","1",1,1,1,1,2361486.41137406
"10499","7930070","1","2",1,1,1,1,2674721.6771543
"10500","7930074","1","1",1,0,1,1,2409263.30395043
"10501","7930077","1","1",1,0,1,1,2687264.64353502
"10502","7930082","1","1",1,1,1,1,2696695.60128823
"10503","7930096","1","1",1,1,1,1,2296128.81125882
"10504","7930098","1","1",1,0,1,1,2300250.65213442
"10505","7930105","1","1",1,0,1,1,2945725.59768334
"10506","7930111","1","1",1,0,1,1,1702990.11765048
"10507","7930112","1","1",0,0,1,1,1214456.89229295
"10508","7930114","1","1",1,0,1,1,2482320.82162052
"10509","7930116","1","1",1,0,1,0,1299754.55373526
"10510","7930120","1","1",0,0,1,0,2947457.50840753
"10511","7930121","1","1",1,0,1,1,1392616.9257611
"10512","7930122","1","1",1,1,1,1,1748691.05201215
"10513","7930124","1","1",1,0,1,1,2601963.60023692
"10514","7930126","1","1",1,0,1,1,1197288.92924264
"10515","7930142","1","1",1,0,1,1,1391586.42280847
"10516","7930151","1","1",1,0,1,1,1313583.71432871
"10517","7930152","1","1",1,0,1,1,1693414.7425741
"10518","7930153","1","1",1,1,1,0,1892713.68768066
"10519","7930155","1","1",1,0,1,1,1197097.77342156
"10520","7930156","1","1",1,0,1,1,1349480.04256934
"10521","7930162","1","1",1,0,1,1,2041694.10508126
"10522","7930168","1","1",1,0,1,1,1902642.99791306
"10523","7930170","1","1",1,0,1,1,1754280.23144603
"10524","7930183","1","1",1,0,1,1,2330699.00777191
"10525","7930186","1","1",1,0,1,1,2700333.16118643
"10526","7930192","1","1",1,1,1,1,1629644.46792379
"10527","7930193","1","1",1,0,1,1,1671066.50818139
"10528","7930195","1","1",1,0,1,0,1845884.84957814
"10529","7930196","1","1",1,0,1,1,1167672.26679251
"10530","7930199","1","1",1,0,1,1,2878818.70876998
"10531","7930209","1","1",1,0,1,1,2598159.92927179
"10532","7930217","1","1",1,0,1,1,1774044.71602291
"10533","7930224","1","1",1,0,1,1,1837475.99026188
"10534","7930226","1","1",1,0,1,1,1360450.48927888
"10535","7930227","1","1",1,0,1,1,1778747.03312293
"10536","7930234","1","1",1,0,1,1,2770438.38258833
"10537","7930235","1","1",1,0,1,1,1963957.47205243
"10538","7930240","1","1",1,0,1,1,1831470.05258128
"10539","7930243","1","1",1,0,1,1,2748886.03501022
"10540","7930244","1","1",1,0,1,1,1232267.56602526
"10541","7930248","1","1",1,0,1,1,2905346.4730829
"10542","7930250","1","1",1,0,1,1,2297705.85106686
"10543","7930254","1","1",1,0,1,1,2946967.9832831
"10544","7930255","1","1",1,1,1,1,1988292.1680063
"10545","7930256","1","1",1,0,1,1,1735273.56145903
"10546","7930258","1","1",1,0,1,1,2492234.04683173
"10547","7930263","1","1",1,0,1,1,1261125.57163462
"10548","7930273","1","1",1,0,1,1,2049935.59937924
"10549","7930281","1","1",1,0,1,1,2275509.78304818
"10550","7930282","1","1",1,0,1,1,1834872.81341106
"10551","7930283","1","1",1,0,1,1,2947056.80476502
"10552","7930293","1","1",1,0,1,1,2585086.75739169
"10553","7930305","1","1",1,0,1,1,2139401.1727348
"10554","7930309","1","1",1,0,1,1,1504147.50544354
"10555","7930315","1","1",1,1,1,1,1416066.93269685
"10556","7930317","1","1",1,0,1,1,2049629.14643809
"10557","7930320","1","1",1,0,1,1,1925671.90254107
"10558","7930326","1","1",1,0,1,1,2116155.80491722
"10559","7930327","1","1",1,0,1,1,1375927.13030055
"10560","7930328","1","1",1,0,1,1,1569857.56227747
"10561","7930330","1","1",1,0,1,1,2377745.53088471
"10562","7930332","1","1",1,1,1,1,2743461.24701202
"10563","7930336","1","1",1,0,1,0,2176258.63347203
"10564","7930337","1","1",1,0,1,1,1529733.54673013
"10565","7930342","1","1",1,0,1,0,2376234.69302431
"10566","7930348","1","1",1,1,1,1,1322134.85578075
"10567","7930350","1","1",1,0,1,1,1720084.2984952
"10568","7930355","1","1",1,0,1,1,1513299.44938421
"10569","7930361","1","1",1,0,1,0,2065573.53915647
"10570","7930367","1","1",1,0,1,1,1183720.63508257
"10571","7930368","1","1",1,0,1,1,2437822.74961472
"10572","7930369","1","1",1,0,1,1,2048155.10200337
"10573","7930373","1","1",1,0,1,1,1897039.22860324
"10574","7930374","1","1",1,1,1,1,1636051.74500495
"10575","7930375","1","1",1,0,1,1,2764789.11545128
"10576","7930376","1","1",1,0,1,1,1320036.0038504
"10577","7930380","1","1",1,0,1,1,2782362.96931282
"10578","7930383","1","1",1,1,1,0,1345883.08464736
"10579","7930384","1","1",1,0,1,1,2578621.28574401
"10580","7930390","1","1",1,0,1,1,2956979.37656194
"10581","7930397","1","1",1,0,1,1,2029782.87313133
"10582","7930400","1","1",1,0,1,1,2917357.05893487
"10583","7930404","1","1",1,0,1,1,2196668.3679074
"10584","7930408","1","1",1,0,1,1,2103404.97393161
"10585","7930409","1","1",1,1,1,1,1908772.96281978
"10586","7930417","1","1",1,0,1,1,2756655.00728413
"10587","7930425","1","1",1,1,1,1,1965711.19561791
"10588","7930425","1","2",1,1,1,1,1319078.74802127
"10589","7930426","1","1",0,0,1,0,2751928.23020741
"10590","7930429","1","1",0,0,1,0,1720577.37341151
"10591","7930430","1","1",0,0,1,1,2289610.73577404
"10592","7930432","1","1",1,0,1,1,1322248.54422733
"10593","7930434","1","1",1,0,1,1,2663875.49500912
"10594","7930437","1","1",1,0,1,0,1976762.69248128
"10595","7930439","1","1",1,0,1,1,2441831.78370818
"10596","7930441","1","1",1,0,1,1,2126563.32043931
"10597","7930444","1","1",1,0,1,1,2216040.02127424
"10598","7930447","1","1",1,0,1,1,2427526.98441967
"10599","7930453","1","1",1,0,1,1,2228422.02434316
"10600","7930454","1","1",1,1,1,1,1280419.37634349
"10601","7930456","1","1",1,1,1,1,2689683.43513086
"10602","7930458","1","1",1,0,1,1,1764942.9926835
"10603","7930464","1","1",1,0,1,1,1244310.46629325
"10604","7930467","1","1",1,1,1,1,1615974.03906286
"10605","7930470","1","1",1,0,1,1,1357356.19876534
"10606","7930472","1","1",1,1,1,1,1671910.92124209
"10607","7930474","1","1",0,1,0,0,2157353.09870914
"10608","7930478","1","1",1,0,1,1,2567182.79344961
"10609","7930482","1","1",1,1,1,1,2890144.03741807
"10610","7930484","1","1",1,0,1,1,1632788.01254928
"10611","7930485","1","1",1,1,1,1,2512338.08318153
"10612","7930486","1","1",1,0,1,1,1684818.12942773
"10613","7930487","1","1",1,0,1,1,2416914.61814567
"10614","7930488","1","1",1,0,1,1,1798031.8605341
"10615","7930495","1","1",1,0,1,1,1517911.79344058
"10616","7930500","1","1",1,0,1,1,1762755.62044233
"10617","7930503","1","1",1,0,1,1,2859592.92845801
"10618","7930505","1","1",1,1,1,1,1335048.83496091
"10619","7930513","1","1",1,0,1,1,1517582.47634396
"10620","7930514","1","1",1,0,1,1,2023532.42179379
"10621","7930515","1","1",1,0,1,1,2513418.72747988
"10622","7930518","1","1",1,1,1,1,1446852.18183324
"10623","7930519","1","1",1,1,1,1,1271106.98403791
"10624","7930526","1","1",1,0,1,0,1588250.33076108
"10625","7930530","1","1",1,1,1,1,1432970.88608146
"10626","7930535","1","1",1,0,1,1,1301928.51807922
"10627","7930537","1","1",1,0,1,1,1976716.30570665
"10628","7930541","1","1",1,0,1,1,2285430.86912483
"10629","7930545","1","1",1,0,1,1,2503694.79879737
"10630","7930546","1","1",1,1,1,1,1750279.33368459
"10631","7930550","1","1",1,0,1,1,2950213.33316341
"10632","7930553","1","1",1,1,1,1,2462699.25964996
"10633","7930557","1","1",1,0,1,1,2365747.18294665
"10634","7930564","1","1",1,0,1,1,2209978.18443924
"10635","7930565","1","1",1,0,1,1,1555838.54608238
"10636","7930578","1","1",0,0,1,1,2992400.60033277
"10637","7930580","1","1",1,0,1,1,1506169.05879229
"10638","7930584","1","1",1,0,1,1,2876644.6210444
"10639","7930587","1","1",1,0,1,1,2856714.62388709
"10640","7930589","1","1",1,0,1,1,2626111.16440967
"10641","7930591","1","1",1,0,1,1,2782519.14173365
"10642","7930599","1","1",1,0,1,1,2963458.22868869
"10643","7930608","1","1",1,1,1,1,1992056.42111599
"10644","7930609","1","1",1,0,1,1,2540651.64342523
"10645","7930613","1","1",1,0,1,1,2712875.44511259
"10646","7930614","1","1",1,0,1,0,2380627.43237242
"10647","7930617","1","1",1,0,1,0,1296177.91350931
"10648","7930618","1","1",1,0,1,1,2725059.81439725
"10649","7930620","1","1",1,0,1,1,2598461.19290218
"10650","7930621","1","1",1,0,1,0,1501104.6179384
"10651","7930622","1","1",1,0,1,0,1732030.24737537
"10652","7930624","1","1",1,0,1,0,1988548.57256636
"10653","7930625","1","1",1,0,1,1,2266430.00064418
"10654","7930630","1","1",1,0,1,0,1603159.835767
"10655","7930638","1","1",1,0,1,1,1823099.57994148
"10656","7930639","1","1",1,1,1,1,1793853.94956917
"10657","7930640","1","1",1,1,1,1,1444912.72138432
"10658","7930645","1","1",1,0,1,0,2365319.8310174
"10659","7930646","1","1",1,1,1,1,1524011.06331497
"10660","7930647","1","1",0,0,1,1,1339132.66144693
"10661","7930656","1","1",1,0,1,1,1378112.55328357
"10662","7930676","1","1",1,0,1,1,1887822.19015062
"10663","7930678","1","1",1,0,1,1,2891764.39873874
"10664","7930679","1","1",1,0,1,1,2580721.16285563
"10665","7930689","1","1",1,0,1,0,2673314.06086683
"10666","7930690","1","1",1,0,1,1,2150752.71483511
"10667","7930691","1","1",1,0,1,1,1637662.79187053
"10668","7930692","1","1",1,0,1,1,2566322.45045155
"10669","7930693","1","1",1,0,1,1,2949035.48814356
"10670","7930697","1","1",1,0,1,1,1884616.99327454
"10671","7930699","1","1",1,0,1,1,2499247.4399507
"10672","7930700","1","1",1,0,1,1,1946309.81927738
"10673","7930703","1","1",1,0,1,1,2626092.66873449
"10674","7930704","1","1",1,0,1,1,2061424.81008545
"10675","7930705","1","1",1,0,1,0,2938244.46871877
"10676","7930707","1","1",1,0,1,1,1477620.41930109
"10677","7930708","1","1",1,0,1,0,1887677.07152292
"10678","7930713","1","1",1,0,1,1,1717821.21021301
"10679","7930715","1","1",1,0,1,1,2992894.93091404
"10680","7930717","1","1",1,0,1,1,2114271.99471742
"10681","7930720","1","1",1,0,1,1,2651264.63403925
"10682","7930722","1","1",1,0,1,1,1477868.54915321
"10683","7930724","1","1",1,0,1,0,1293707.96395466
"10684","7930726","1","1",1,0,1,1,2907283.35794061
"10685","7930728","1","1",1,0,1,0,2082896.46094665
"10686","7930730","1","1",1,0,1,1,2285677.4635613
"10687","7930731","1","1",1,0,1,1,1808804.86667156
"10688","7930732","1","1",1,0,1,1,2138121.85062096
"10689","7930734","1","1",1,0,1,1,2659856.9849506
"10690","7930735","1","1",1,0,1,1,1509389.4277513
"10691","7930739","1","1",1,1,1,1,1375813.77901137
"10692","7930742","1","1",1,0,1,1,1870002.08672136
"10693","7930748","1","1",1,1,1,1,2097178.6059998
"10694","7930751","1","1",1,0,1,1,2675960.12182534
"10695","7930755","1","1",1,0,1,0,2390835.5794847
"10696","7930757","1","1",1,1,1,1,1677657.89248049
"10697","7930760","1","1",1,0,1,1,1200884.93781164
"10698","7930761","1","1",1,0,1,0,2555405.03812954
"10699","7930768","1","1",1,0,1,0,2777865.74887112
"10700","7930769","1","1",1,0,1,1,2080957.74378628
"10701","7930770","1","1",1,0,1,1,2896564.96230513
"10702","7930772","1","1",1,0,1,1,2158523.48899469
"10703","7930773","1","1",1,0,1,1,2458751.32301822
"10704","7930774","1","1",0,0,1,1,1444693.06483865
"10705","7930775","1","1",1,0,1,1,2654520.50948516
"10706","7930777","1","1",1,1,1,1,2190220.477283
"10707","7930780","1","1",0,0,1,1,1739705.085475
"10708","7930783","1","1",1,0,1,1,2186577.87673175
"10709","7930785","1","1",1,1,1,1,1249325.00185445
"10710","7930794","1","1",1,1,1,1,2119931.05312809
"10711","7930797","1","1",1,0,1,1,1633971.3287726
"10712","7930802","1","1",1,0,1,1,1447898.5054791
"10713","7930807","1","1",1,0,1,1,2450671.38109356
"10714","7930814","1","1",1,0,1,1,1733612.44693398
"10715","7930815","1","1",1,0,1,1,2690193.82674247
"10716","7930817","1","1",0,0,1,1,1463432.58963898
"10717","7930822","1","1",1,0,1,1,1546852.11215168
"10718","7930823","1","1",0,0,1,1,1824776.87973529
"10719","7930827","1","1",1,0,1,1,2194978.64855453
"10720","7930828","1","1",1,0,1,0,1657917.54271835
"10721","7930833","1","1",1,0,1,0,2915832.71121606
"10722","7930838","1","1",1,0,1,1,1993543.82975027
"10723","7930840","1","1",1,0,1,1,2675564.57364932
"10724","7930842","1","1",1,0,1,1,2063015.28520882
"10725","7930843","1","1",1,1,1,1,1904300.01685396
"10726","7930844","1","1",1,0,1,1,1403422.37526551
"10727","7930846","1","1",1,0,1,0,2910262.85128668
"10728","7930848","1","1",1,0,1,1,2928600.88031739
"10729","7930851","1","1",0,0,1,1,1353617.22346395
"10730","7930860","1","1",1,1,1,1,2393828.05103436
"10731","7930862","1","1",1,0,1,1,2719231.168814
"10732","7930864","1","1",0,1,1,1,2255188.04883584
"10733","7930868","1","1",0,0,1,1,2135462.63881028
"10734","7930871","1","1",1,0,1,1,1809073.04346561
"10735","7930879","1","1",1,0,1,1,2572646.61373571
"10736","7930883","1","1",1,1,1,1,2464956.88315481
"10737","7930891","1","1",1,0,1,1,1294451.67191327
"10738","7930897","1","1",1,1,1,1,2114301.37325078
"10739","7930900","1","1",1,1,1,1,2162238.86884749
"10740","7930912","1","1",0,0,1,1,2788929.52820286
"10741","7930915","1","1",1,1,1,1,1799990.3226085
"10742","7930918","1","1",1,0,1,1,2230730.85892946
"10743","7930920","1","1",1,0,1,1,1743637.44003698
"10744","7930923","1","1",1,0,1,1,2919787.08039969
"10745","7930933","1","1",1,0,1,1,2278353.97431627
"10746","7930935","1","1",1,0,1,1,2331663.24451566
"10747","7930942","1","1",1,0,1,1,2432018.4783265
"10748","7930953","1","1",1,0,1,1,2274383.85469839
"10749","7930956","1","1",0,0,1,1,2228095.42121366
"10750","7930963","1","1",1,0,1,1,2769832.22285286
"10751","7930967","1","1",1,0,1,1,1576365.93945324
"10752","7930968","1","1",1,1,1,0,1842788.33391145
"10753","7930970","1","1",1,0,1,1,2853283.7337628
"10754","7930972","1","1",1,0,1,1,1192688.66458908
"10755","7930973","1","1",1,0,1,0,1641638.23917508
"10756","7930975","1","1",1,0,1,1,2311162.17598319
"10757","7930984","1","1",1,0,1,1,2345399.29525927
"10758","7930993","1","1",1,0,1,1,2044798.74936864
"10759","7930994","1","1",1,0,1,1,1877330.04126698
"10760","7930995","1","1",1,1,1,1,2888304.17977646
"10761","7931015","1","1",1,0,1,1,2550368.5393557
"10762","7931016","1","1",1,0,1,1,2614374.37992543
"10763","7931019","1","1",1,0,1,1,1368777.50674263
"10764","7931020","1","1",0,1,1,1,1931683.9883104
"10765","7931021","1","1",0,0,1,1,2734346.03909031
"10766","7931023","1","1",1,0,1,1,1701035.7545875
"10767","7931033","1","1",1,0,1,1,1790292.74232686
"10768","7931037","1","1",1,0,1,0,1748469.94787455
"10769","7931039","1","1",1,0,1,1,2789339.48289603
"10770","7931041","1","1",1,1,1,1,2098717.05392376
"10771","7931042","1","1",1,0,1,1,2905213.73460069
"10772","7931050","1","1",1,0,1,0,2957118.1881614
"10773","7931051","1","1",1,0,1,1,2844899.11850542
"10774","7931052","1","1",1,0,1,1,2306498.30168113
"10775","7931059","1","1",1,0,1,1,1402179.4151701
"10776","7931062","1","1",1,0,1,1,2668781.83517605
"10777","7931065","1","1",1,1,1,1,1973341.14465863
"10778","7931068","1","1",1,0,1,1,2343077.83761993
"10779","7931071","1","1",1,1,1,1,1188636.64614037
"10780","7931076","1","1",1,0,1,1,2984528.13273296
"10781","7931078","1","1",1,0,1,0,1433217.01098233
"10782","7934149","1","1",1,0,1,1,2914382.48028979
"10783","7934150","1","1",1,1,1,1,1701470.34790367
"10784","7934153","1","1",1,1,1,1,1479737.70521581
"10785","7934155","1","1",1,0,1,1,1638412.0978415
"10786","7934159","1","1",1,1,1,1,1640141.4693892
"10787","7934160","1","1",1,0,1,1,1400435.74849144
"10788","7934161","1","1",1,0,1,0,1623793.62607375
"10789","7934162","1","1",1,1,1,1,2292356.23631626
"10790","7934165","1","1",1,0,1,1,1661257.28981569
"10791","7934167","1","1",1,0,1,1,2629843.18021685
"10792","7934174","1","1",1,0,1,1,2259277.27369592
"10793","7934175","1","1",1,0,1,1,2836211.1425586
"10794","7934181","1","1",1,0,1,1,1930542.87673905
"10795","7934184","1","1",1,1,1,1,1955210.04544571
"10796","7934185","1","1",1,1,1,1,1908124.52046201
"10797","7934188","1","1",1,0,1,1,2714751.51911378
"10798","7934198","1","1",1,0,1,1,1782184.81719494
"10799","7934199","1","1",1,0,1,1,2927070.90031356
"10800","7934208","1","1",1,0,1,1,2734851.39647499
"10801","7934211","1","1",1,1,1,1,1262750.77311322
"10802","7934213","1","1",1,1,1,1,1605403.23225781
"10803","7934217","1","1",1,0,1,1,2521387.07201928
"10804","7934220","1","1",1,0,1,1,2402635.13993472
"10805","7934221","1","1",1,0,1,1,1362624.10275638
"10806","7934223","1","1",1,0,1,1,2109372.29102477
"10807","7934224","1","1",1,0,1,1,1274806.87178671
"10808","7934226","1","1",1,1,0,1,2456911.13207489
"10809","7934227","1","1",1,0,1,1,1920170.33647746
"10810","7934228","1","1",1,0,1,1,2964215.33597633
"10811","7934229","1","1",0,0,1,1,2167472.08889574
"10812","7934230","1","1",1,0,1,1,1253182.01866001
"10813","7934234","1","1",1,1,1,1,2798528.57712656
"10814","7934250","1","1",1,0,1,1,1616697.17870653
"10815","7934251","1","1",1,0,1,0,2110023.45548943
"10816","7934252","1","1",1,1,1,1,1653182.63787776
"10817","7934263","1","1",1,0,1,0,1724095.51361576
"10818","7934272","1","1",1,1,1,1,1576912.80789673
"10819","7934273","1","1",1,0,1,1,1433840.75473994
"10820","7934277","1","1",1,0,1,1,1580567.48528033
"10821","7934278","1","1",1,0,1,1,1639962.76782826
"10822","7934282","1","1",1,1,1,1,1782024.85593036
"10823","7934285","1","1",1,0,1,1,2370695.58981806
"10824","7934289","1","1",1,0,1,1,1255465.77379107
"10825","7934293","1","1",1,0,1,1,1215109.73569006
"10826","7934295","1","1",1,0,1,1,2086039.01466355
"10827","7934299","1","1",1,0,1,1,1740858.25631395
"10828","7934300","1","1",1,0,1,1,1173928.2081835
"10829","7934304","1","1",1,0,1,1,2735283.41248631
"10830","7934305","1","1",1,0,1,1,2808578.32666487
"10831","7934306","1","1",0,0,1,1,1459586.77828312
"10832","7934314","1","1",1,0,1,1,1687748.64755571
"10833","7934319","1","1",1,0,1,1,2705655.68124875
"10834","7934321","1","1",1,1,1,1,2148276.98990703
"10835","7934326","1","1",0,0,1,1,2977366.20057374
"10836","7934335","1","1",1,0,1,1,1756723.79661351
"10837","7934338","1","1",1,0,1,1,2657928.37522924
"10838","7934340","1","1",1,0,1,1,1318827.06366479
"10839","7934341","1","1",1,0,1,1,1455601.88286006
"10840","7934345","1","1",1,0,1,1,2273673.24642837
"10841","7934347","1","1",1,0,1,1,1682180.1353991
"10842","7934355","1","1",0,0,1,1,2829488.13278228
"10843","7934371","1","1",1,1,1,0,2416623.03054705
"10844","7934377","1","1",0,0,1,1,2665948.38539138
"10845","7934390","1","1",1,0,1,1,1649773.4599188
"10846","7934395","1","1",0,0,1,1,2508055.67827076
"10847","7934396","1","1",1,0,1,1,1955565.44147432
"10848","7934398","1","1",1,0,1,1,1420719.12387386
"10849","7934399","1","1",1,0,1,1,1362388.48885521
"10850","7934400","1","1",1,0,1,1,1585588.73957023
"10851","7934402","1","1",1,0,1,1,1577905.6494683
"10852","7934403","1","1",1,0,1,1,2414279.15815264
"10853","7934404","1","1",1,0,1,1,1366486.09124124
"10854","7934410","1","1",1,0,1,1,2789713.81071955
"10855","7934411","1","1",1,0,1,1,2043800.7334806
"10856","7934413","1","1",1,0,1,0,1798209.97474715
